name,longitude,latitude,uber_count,avg_price,adj_pop,median_daily_test_rate,avg_test_score
Bulls Head,-74.15940948657122,40.6095918004203,0.0,1.6,19826.0,482.5,40.97217175470486
Bushwick,-73.92525797487045,40.69811611017901,39318.0,1.6,124973.0,468.6,24.68119214
Butler Manor,-74.22950350260027,40.50608165346305,0.0,1.95,1220.0,482.5,45.421998621150856
Cambria Heights,-73.73526873708028,40.69277463916085,516.0,1.45,19810.0,271.3,39.10003936448758
Canarsie,-73.90209269778966,40.63556432797428,3680.0,1.4,84375.0,259.5,27.21754503
Carnegie Hill,-73.95325646837112,40.7826825671257,0.0,1.85,62436.0,482.5,43.91382752933821
Carroll Gardens,-73.99465372828006,40.68054023107649,8554.0,1.9,38340.0,428.1,29.93009370826806
Castle Hill,-73.84802729582734,40.81901437698832,1045.0,1.6,52219.0,247.0,23.14875211
Castleton Corners,-74.11918058534843,40.61333593766742,0.0,1.65,13595.0,482.5,41.25791082258355
Central Harlem,-73.94321112603905,40.81597606742414,26096.0,1.9,113879.0,1673.8,30.4184092
Charleston,-74.23215775896526,40.53053148283314,8.0,1.85,20822.0,297.5,44.48283768564602
Chelsea,-74.18956045519691,40.59472602746296,114927.0,1.7,62995.0,1098.6,42.9471992
Chinatown,-73.99427936255978,40.71561842231432,8706.0,1.35,50110.0,554.4,35.70333663
City Island,-73.78648845267412,40.847246704918135,85.0,2.05,26862.0,233.4,39.38746844778851
City Line,-73.86797598081334,40.67856995727479,0.0,1.25,49092.0,482.5,39.79224209024739
Civic Center,-74.00541529873355,40.71522892046282,77462.0,1.4,39749.0,482.5,47.224883013219134
Claremont Village,-73.90119903387668,40.83142834161548,920.0,1.5,29613.0,477.3,28.224976357356056
Clason Point,-73.85414416189265,40.80655112003589,0.0,1.45,52219.0,247.0,34.74220476724089
Clifton,-74.072642445484,40.61917845202843,113.0,1.85,21147.0,482.5,47.28912934061938
Clinton,-73.99611936309479,40.75910089146212,83668.0,1.8,43240.0,482.5,46.06878741
Clinton Hill,-73.96784306216367,40.69322942188151,17756.0,1.75,34042.0,637.6,41.2289504
Co-op City,-73.829939108124,40.87429419303012,930.0,1.6,84428.0,320.6,41.1901372
Cobble Hill,-73.99856139218463,40.687919722485574,4989.0,2.05,22718.0,428.1,25.53478722009877
College Point,-73.84304528896125,40.78490274926021,799.0,1.8,22842.0,223.5,40.32702496
Concord,-74.08402364740357,40.6044731896879,0.0,1.7,10258.0,482.5,46.31455390109585
Concourse,-73.91558941773444,40.83428380733851,5401.0,1.5,100041.0,551.0,26.15937430880096
Concourse Village,-73.91584652759009,40.824780490842905,1864.0,1.5,60622.0,482.5,25.38094776774306
Coney Island,-73.98868295821637,40.57429256471601,1659.0,1.4,33116.0,194.5,53.319376977444925
Corona,-73.85682497345258,40.74238175015667,2098.0,1.45,54870.0,213.8,23.84714565
Country Club,-73.8240992675385,40.844245936947374,119.0,1.6,26862.0,211.0,37.50247353048624
Crown Heights,-73.94329119073582,40.67082917695294,28666.0,1.7,144335.0,971.5000000000001,50.30614449
Cypress Hills,-73.87661596457295,40.68239101144211,1373.0,1.15,49092.0,549.3,38.86445325231442
Ditmas Park,-73.9610131246678,40.64367518334098,9858.0,1.8,3058.0,306.7,41.58686039
Dongan Hills,-74.0963990531252,40.58867294819928,157.0,1.8,23926.0,482.5,36.16373553
Douglaston,-73.74249820727329,40.76684609790763,645.0,1.85,24548.0,634.7,50.77271855
Downtown,-73.98346337431099,40.69084402109802,11381.0,1.5,32672.0,406.1,28.139840721046177
Dumbo,-73.98875280745041,40.70317632822693,10350.0,1.95,32672.0,406.1,27.745490133803305
Dyker Heights,-74.01931375636022,40.61921945772264,2060.0,1.65,40876.0,220.1,41.00778796
East Elmhurst,-73.86704147658772,40.7640732388309,2942.0,1.3,22167.0,333.1,33.97468029
East Flatbush,-73.93610256185836,40.64171776668961,5816.0,1.7,53194.0,638.4,27.38524605
East Harlem,-73.94418223148523,40.79224946663033,22724.0,1.5,114985.0,940.5000000000001,26.57731268
East New York,-73.88069863917366,40.669925700847045,4505.0,1.5,116101.0,917.9,39.5887270137401
East Tremont,-73.88735617532338,40.84269615786053,1155.0,1.5,41352.0,482.5,31.66745653
East Village,-73.98222616506415,40.727846777270244,75598.0,1.85,42941.0,578.3,31.95795124
East Williamsburg,-73.93885815269195,40.70849241041548,23267.0,1.75,33018.0,447.3,34.78641661465424
Eastchester,-73.82780644716412,40.887555677350775,677.0,1.35,34969.0,482.5,32.59003604314301
Edenwald,-73.84808271877169,40.884561303037316,0.0,1.55,34969.0,624.9000000000001,17.29767527
Edgemere,-73.77613282391705,40.595641807368494,0.0,1.5,34264.0,444.4,13.97760809
Edgewater Park,-73.81388514428619,40.82198611816349,1020.0,1.7,43940.0,482.5,48.57135254931207
Egbertville,-74.12727240604946,40.57911874296122,0.0,1.85,0.0,482.5,43.855715405472594
Elm Park,-74.1418167896889,40.630146741193826,0.0,1.5,28026.0,346.2,34.86650877849386
Elmhurst,-73.88165622288388,40.744048505122024,7036.0,1.45,113129.0,228.0,44.59144604
Eltingville,-74.1643308041936,40.542230747450745,11.0,1.8,27073.0,482.5,45.007846812425186
Emerson Hill,-74.09776206972522,40.606794394801,195.0,1.8,30738.0,482.5,45.79595026654645
Erasmus,-73.94817709920184,40.64692606658579,2253.0,1.75,30665.0,482.5,39.641474152966794
Far Rockaway,-73.75497968043872,40.603134432500894,130.0,1.65,49201.0,201.9,24.318899856038502
Fieldston,-73.90564259591682,40.89543742690383,3070.0,1.75,27936.0,362.5,35.27592758719864
Financial District,-74.01066544521271,40.707107107270474,42180.0,1.7,61000.0,1771.6,41.33584406477952
Flatbush,-73.95840106533903,40.63632589026677,9858.0,1.85,108340.0,308.2,47.89652438
Flatiron,-73.99094710528259,40.73967304763842,42133.0,1.85,62995.0,443.7,44.557824690216435
Flatlands,-73.92911302644673,40.630446043757466,3567.0,1.8,65744.0,498.4,29.01323645
Floral Park,-73.70884705889245,40.74137842194544,0.0,1.5,22499.0,482.5,61.9801866
Flushing,-73.83177300329581,40.76445419697846,5072.0,1.8,130318.0,283.9,44.15309504
Fordham,-73.89642655981623,40.86099679638654,625.0,1.4,82443.0,471.7,36.06601388
Forest Hills,-73.84447500788983,40.72526378216503,8968.0,1.95,84387.0,286.2,49.99670295
Forest Hills Gardens,-73.8410221123401,40.714611081511705,153.0,2.0,0.0,482.5,42.61464114876915
Fort Greene,-73.97290574369092,40.68852726018977,15427.0,1.9,27208.0,284.6,19.31708757
Fort Hamilton,-74.03197914537985,40.61476812694226,0.0,1.8,413.0,285.9,58.27374036
Fox Hills,-74.08173992211962,40.61731079252983,0.0,1.6,21147.0,482.5,46.316934735264574
Fresh Meadows,-73.78271337003264,40.7343944653313,916.0,1.7,17592.0,423.6,53.29459906
Fulton Ferry,-73.99550751888415,40.70328109093014,0.0,1.9,3733.0,482.5,28.946367155094016
Georgetown,-73.91607483951323,40.623845244784185,0.0,1.75,44086.0,482.5,42.24268297961235
Gerritsen Beach,-73.93010170691196,40.590848433902046,0.0,1.65,64557.0,198.7,42.42000553
Glen Oaks,-73.71548118999145,40.74944079974332,426.0,1.8,22499.0,482.5,55.8466255
Glendale,-73.87074167435605,40.70276242967838,1982.0,1.65,31784.0,186.3,35.19932241
Gowanus,-73.99444087145339,40.67393114318715,7860.0,1.85,67456.0,387.8,32.31307388056293
Gramercy,-73.98137594833541,40.737209832715,47060.0,1.65,27086.0,775.3,46.69641330750541
Graniteville,-74.15315246387762,40.62017151223189,0.0,1.55,29715.0,324.4,38.14393294695921
Grant City,-74.10585598545434,40.57621558711788,0.0,1.85,14020.0,482.5,45.638436919795154
Grasmere,-74.0766743627905,40.598268359599906,0.0,1.85,15659.0,482.5,46.96521390227515
Gravesend,-73.97347087708445,40.59526001306593,883.0,1.5,29346.0,358.29999999999995,52.0519748
Great Kills,-74.14932381490992,40.549480228713605,26.0,1.9,41200.0,264.9,44.989255081336815
Greenpoint,-73.95424093127394,40.7302009848647,27573.0,1.8,36270.0,362.6,50.6395602
Greenridge,-74.17079414786092,40.55529523617321,0.0,1.8,1071.0,482.5,44.006064291980145
Greenwich Village,-73.99991402945902,40.72693288536128,78811.0,1.6,22116.0,621.0,46.130902105061885
Grymes Hill,-74.08724819983729,40.624184791313006,113.0,1.6,21147.0,482.5,44.39987181783211
Hamilton Heights,-73.94968791883366,40.823604284811935,7165.0,1.6,49538.0,425.8,30.15022935
Hammels,-73.80553002968719,40.58733774018741,241.0,1.75,34264.0,482.5,28.816758981528448
Heartland Village,-74.15902208156602,40.58913894875281,189.0,1.7,30738.0,482.5,42.533793935755426
High  Bridge,-73.92610209358129,40.836623010706056,1505.0,1.7,35786.0,240.7,26.37857753
Highland Park,-73.890345709872,40.681998934517296,153.0,1.5,33028.0,482.5,34.84190009648653
Hillcrest,-73.79760300912672,40.723824901829204,1976.0,1.5,32884.0,468.4,32.26366349426869
Hollis,-73.75925009335594,40.71124344191904,398.0,1.55,20508.0,424.29999999999995,33.92673429
Holliswood,-73.7671416671473,40.7209572076444,0.0,1.6,25770.0,424.29999999999995,37.644553130106615
Homecrest,-73.95918459428701,40.598525095137255,3413.0,1.55,44998.0,388.9,54.55433092754828
Howard Beach,-73.83813764600279,40.65422527738487,1226.0,1.9,27134.0,186.9,45.42924531
Howland Hook,-74.18622331749823,40.63843283794795,0.0,1.55,3960.0,482.5,40.07778550882971
Hudson Yards,-74.00011136202637,40.75665808227519,78364.0,2.05,62995.0,654.4000000000001,47.60392067174204
Huguenot,-74.19174105747814,40.53191192048961,0.0,1.75,27073.0,482.5,45.09405409303518
Hunters Point,-73.95386782130745,40.743414090073536,16384.0,1.85,62610.0,482.5,44.39557783622257
Hunts Point,-73.88331505955291,40.80972987938709,710.0,1.4,26173.0,432.3,27.41762232247684
Inwood,-73.92121042203897,40.86768396449915,3692.0,1.6,47917.0,224.9,25.2809043
Jackson Heights,-73.88282109164366,40.75198138007367,8235.0,1.55,110740.0,537.8,35.33661626
Jamaica Center,-73.79690165888289,40.70465736068717,3624.0,1.4,52800.0,498.8,29.11381399
Jamaica Estates,-73.7872269693666,40.71680483014613,1284.0,1.4,25770.0,250.2,31.76673957
Jamaica Hills,-73.79646462081594,40.71145964370482,2339.0,1.45,38907.0,250.2,30.82265861
Kensington,-73.98042110559473,40.64238195800353,2635.0,1.65,36914.0,244.6,35.92460008
Kew Gardens,-73.82981905825703,40.705179035414794,2700.0,1.45,23583.0,275.5,42.05260991
Kew Gardens Hills,-73.82087764933566,40.722578244228046,2053.0,1.6,36766.0,228.6,54.43792479
Kingsbridge,-73.90281798724605,40.88168737120521,3379.0,1.85,30016.0,754.5999999999999,32.391833099974285
Kingsbridge Heights,-73.90152264513144,40.870392391414704,869.0,1.6,32891.0,754.6,30.788472787721158
Laurelton,-73.74025607989822,40.66788389660247,657.0,1.5,25414.0,287.0,34.10095303849984
Lefrak City,-73.86252471413741,40.7360745708308,0.0,1.35,66740.0,482.5,36.530182151019005
Lenox Hill,-73.9588596881376,40.76811265828733,61981.0,1.7,78702.0,1674.3000000000002,48.86058639749225
Lighthouse Hill,-74.13792663771568,40.57650629379489,0.0,1.9,30738.0,287.8,43.5894440604072
Lincoln Square,-73.98533777001262,40.773528889421655,60497.0,1.65,58364.0,1642.3,48.5663822633537
Lindenwood,-73.84963782402441,40.66391841925139,0.0,1.65,27134.0,186.9,41.4131813033706
Little Italy,-73.99730467208073,40.71932379395907,47186.0,1.35,39749.0,364.3,66.23729582
Little Neck,-73.73889775580741,40.7708261928267,0.0,2.0,24548.0,634.7,64.42339066
Long Island City,-73.93920223915505,40.75021734610528,21246.0,1.75,20567.0,794.9000000000001,21.45157138
Longwood,-73.8957882009446,40.81509904545822,623.0,1.55,24639.0,482.5,26.79091786
Lower East Side,-73.98089031999291,40.71780674892765,47749.0,1.55,72607.0,204.5,33.91562941
Madison,-73.94841515328893,40.60937770113766,1824.0,1.55,38996.0,482.5,46.354969298949186
Malba,-73.8266775713864,40.790601556701475,0.0,1.75,39407.0,482.5,46.18489795535079
Manhattan Beach,-73.94353722891886,40.57791350308657,1128.0,1.95,64557.0,257.0,66.86757033
Manhattan Terrace,-73.95743840559939,40.61443251335098,0.0,1.8,52476.0,482.5,45.737498319260865
Manhattan Valley,-73.96428617740655,40.797307041702865,11637.0,1.75,21105.0,508.6,30.25478273
Manhattanville,-73.9573853935188,40.81693442949779,3545.0,1.9,23861.0,482.5,37.266607842704026
Manor Heights,-74.12059399718001,40.60180957631444,0.0,1.6,89792.0,482.5,42.69811157764229
Marble Hill,-73.91065965862981,40.87655077879964,603.0,1.6,47917.0,282.9,22.04745344
Marine Park,-73.93134404108497,40.60974777989461,2326.0,1.65,44086.0,259.4,56.68011417
Mariner's Harbor,-74.15008537046981,40.63254639048112,89.0,1.55,29715.0,324.4,36.75803586426112
Maspeth,-73.8962171362686,40.725427374093606,5098.0,1.45,117255.0,237.9,37.4737957
Melrose,-73.90942160757436,40.819754370594936,2663.0,1.6,70035.0,310.3,25.368404884034447
Middle Village,-73.88114319200605,40.71641451115819,2372.0,1.55,37778.0,166.5,37.57726276
Midland Beach,-74.09348266303591,40.57352690574281,61.0,1.9,21069.0,605.1,46.41333955187839
Midtown,-73.98166882730305,40.754691102706225,201832.0,1.75,77703.0,3527.5,46.56755010334261
Midtown South,-73.98871313285247,40.7485096643122,51954.0,1.75,27219.0,482.5,46.4852163580198
Midwood,-73.95759523489838,40.62559589869843,3700.0,1.55,54138.0,498.9,44.51997924
Mill Basin,-73.91515391550405,40.61597423962336,2141.0,1.75,44086.0,259.4,62.99678108
Mill Island,-73.90818571777424,40.606336421685626,0.0,1.8,93534.0,482.5,48.60694216973471
Morningside Heights,-73.96389627905332,40.807999738165826,9425.0,1.7,55068.0,914.0,39.28870127082941
Morris Heights,-73.91967159119567,40.847897926062714,1300.0,1.4,54262.0,230.1,26.31095146
Morris Park,-73.8504017803042,40.847549063536334,1636.0,1.5,28193.0,289.2,36.18142653
Morrisania,-73.90150648943059,40.823591985855344,1269.0,1.65,33830.0,231.8,30.68160635
Mott Haven,-73.91609987487574,40.80623874935177,2567.0,1.55,86926.0,483.2,21.51949499
Mount Eden,-73.91655551964418,40.84382617671654,0.0,1.4,20384.0,482.5,29.62326757
Mount Hope,-73.90829930881988,40.84884160724665,1300.0,1.5,52228.0,475.6,22.00997605
Murray Hill,-73.97833207924127,40.748303077252174,59007.0,1.85,101955.0,1530.5,42.77208625505371
Neponsit,-73.85754672410826,40.572036730217015,0.0,1.75,2000.0,192.5,47.382010382298
New Brighton,-74.08701650516626,40.64061455913511,142.0,1.65,50007.0,482.5,43.31504472116485
New Dorp,-74.1164794360638,40.57257231820632,61.0,1.75,21069.0,796.3,45.17476315873814
New Dorp Beach,-74.10432707469124,40.56425549307336,0.0,1.85,5399.0,482.5,45.992088644142335
New Lots,-73.88511776379292,40.66274427969661,0.0,1.35,48038.0,482.5,40.17060388499873
New Springville,-74.16496031329827,40.594252379161695,0.0,1.7,39452.0,482.5,42.29310997624306
Noho,-73.98843368023597,40.72325901885768,0.0,1.95,24189.0,482.5,37.71271010334835
North Corona,-73.85751790676447,40.7540709990489,958.0,1.3,49596.0,213.8,35.15766605019741
North Riverdale,-73.90453054908927,40.90854282950666,3070.0,1.6,27936.0,362.5,42.40973873
North Side,-73.95880857587582,40.714822906532014,0.0,1.65,42952.0,482.5,32.761727937841265
Norwood,-73.8793907395681,40.87722415599446,1561.0,1.3,40655.0,249.9,38.778102200000006
Oakland Gardens,-73.75494976234332,40.74561857141855,783.0,1.8,28054.0,148.5,73.68855027
Oakwood,-74.12156593771896,40.5584622432888,45.0,1.85,22157.0,287.8,45.41606514971584
Ocean Hill,-73.91306831787395,40.67840255479536,2904.0,1.5,31002.0,677.1,34.30650795100853
Ocean Parkway,-73.96836678035541,40.61305976667942,1464.0,1.5,57342.0,482.5,45.95418258194906
Old Town,-74.08751118005578,40.59632891379513,0.0,1.85,23926.0,482.5,46.10521860835922
Olinville,-73.86332361652777,40.87137078192371,1140.0,1.35,59370.0,482.5,21.54122007
Ozone Park,-73.84320266173447,40.680708468265415,1216.0,1.5,21214.0,433.79999999999995,42.38008712865724
Paerdegat Basin,-73.90233474295836,40.63131755039667,0.0,1.8,0.0,482.5,44.11529898929032
Park Hill,-74.08015734936295,40.60919044434558,0.0,1.8,17873.0,482.5,46.5821867155844
Park Slope,-73.97705030183924,40.67232052268197,32463.0,1.9,67456.0,862.5,61.13840762
Parkchester,-73.85600310535783,40.83793782226729,889.0,1.55,29586.0,224.4,19.56137955
Pelham Bay,-73.8320737824047,40.85064140940335,697.0,1.7,26862.0,289.2,33.685839918797996
Pelham Gardens,-73.84161194831223,40.86296562477997,860.0,1.7,28707.0,261.6,37.74495064
Pelham Parkway,-73.85475564017999,40.857413498088654,1616.0,1.6,30039.0,474.3,30.734228574150876
Pleasant Plains,-74.21983106616777,40.52469937611813,0.0,1.95,3586.0,482.5,45.195925103434895
Pomonok,-73.80486120040538,40.73493618075478,1976.0,1.6,32884.0,434.0,36.722266959680816
Port Ivory,-74.17464532993542,40.63968297845542,0.0,1.55,29715.0,324.4,39.45956904228724
Port Morris,-73.91322139386133,40.80166362775621,2567.0,1.65,50721.0,256.4,25.35262515170784
Port Richmond,-74.12943426797007,40.63366930554365,58.0,1.4,19117.0,260.2,26.32343197
Prince's Bay,-74.20152556457658,40.526264067348116,11.0,1.8,27073.0,297.5,45.17480559803948
Prospect Heights,-73.9648592426269,40.67682226225472,11125.0,1.7,19752.0,353.0,39.76292040684097
Prospect Lefferts Gardens,-73.95489867077713,40.65842001746981,0.0,1.85,68880.0,616.0,23.97542996
Prospect Park South,-73.96261316716048,40.647008603185185,0.0,1.85,2852.0,482.5,42.571831111813374
Queens Village,-73.73871484578423,40.718893092167356,1275.0,1.35,55104.0,474.2,37.88756575
Queensboro Hill,-73.82580915110559,40.7445723092867,1378.0,1.65,20054.0,128.1,43.9927556598964
Queensbridge,-73.9456307033409,40.75609129709471,1188.0,1.75,20567.0,482.5,43.380843390554475
Randall Manor,-74.09805062373887,40.63563000681151,0.0,1.55,6865.0,260.2,42.148874452353866
Ravenswood,-73.93157506072878,40.761704526054146,1188.0,1.7,20567.0,482.5,42.140460644281376
Red Hook,-74.01275897473559,40.67625323025089,5127.0,1.75,38340.0,428.1,29.7799347
Rego Park,-73.85782686905371,40.728974094807356,2670.0,1.75,28832.0,297.1,40.53656543
Remsen Village,-73.91665331978048,40.652117451793494,3105.0,1.6,56630.0,482.5,37.94063571196731
Richmond Hill,-73.83183321446889,40.69794731471763,2601.0,1.7,62983.0,450.70000000000005,43.69850513
Richmond Town,-74.1340572986257,40.56960594275505,0.0,1.85,5337.0,482.5,44.577794172553396
Richmond Valley,-74.22957080626941,40.5195414574891,0.0,2.0,20822.0,482.5,45.27060713920135
Ridgewood,-73.90143517559589,40.708323156138576,5827.0,1.5,69386.0,186.3,41.33484038
Riverdale,-73.9125854610857,40.890834493891305,3070.0,1.9,27936.0,645.4,33.013237589745465
Rochdale,-73.77258787620906,40.67521139591733,0.0,1.5,98643.0,482.5,30.267061801512195
Rockaway Beach,-73.82236121088752,40.58280169684559,0.0,1.75,16522.0,482.5,37.811963441179955
Rockaway Park,-73.84153370226186,40.58034295646131,156.0,1.7,27365.0,192.5,40.27285203506165
Roosevelt Island,-73.94916769227953,40.76215960576283,638.0,1.7,78702.0,274.2,43.529046602459296
Rosebank,-74.06980526716141,40.61530494652761,0.0,1.7,25250.0,482.5,47.69154861198822
Rosedale,-73.73526079428278,40.65981643342808,822.0,1.5,25283.0,614.3,32.450771323436186
Rossville,-74.21572851113952,40.54940400650072,5.0,1.5,19829.0,263.7,44.174871816396646
Roxbury,-73.89213760232822,40.56737588957032,0.0,1.7,2502.0,482.5,52.702190215456476
Rugby,-73.92688212616955,40.65557231328077,0.0,1.7,56630.0,482.5,36.53299912352997
Sandy Ground,-74.21776636068567,40.54113992209177,0.0,1.75,0.0,482.5,44.309993952887716
Schuylerville,-73.82620275994074,40.826579516869224,1020.0,1.75,43940.0,482.5,39.55490938639021
Sea Gate,-74.00787311200241,40.57637537890224,0.0,1.5,33116.0,194.5,52.5726705737438
Sheepshead Bay,-73.9431864048298,40.58689012678384,1614.0,1.7,64557.0,455.7,48.54619336
Shore Acres,-74.0666776606177,40.60971934079284,0.0,1.8,186.0,317.3,48.1063287963751
Silver Lake,-74.09629029235458,40.61919310792676,0.0,1.75,17154.0,323.9,45.487899405031385
Soho,-74.0006566695976,40.72218384131794,41476.0,1.65,39749.0,653.7,46.23241945828355
Somerville,-73.79664750844047,40.597710615657675,0.0,1.8,12063.0,482.5,26.56389443545897
Soundview,-73.86574609554923,40.821012197914015,1739.0,1.55,87604.0,450.0,31.30962968
South Beach,-74.0795529253982,40.58024741350957,157.0,1.85,23926.0,317.3,47.25108922744227
South Jamaica,-73.7904261313554,40.69691125378989,917.0,1.5,37037.0,564.0,20.44834484
South Ozone Park,-73.80986478649041,40.66854957767195,2622.0,1.55,77392.0,749.4,32.89505329019346
South Side,-73.95800095153331,40.71086147265064,0.0,1.75,42952.0,482.5,31.2575922638701
Springfield Gardens,-73.76042092682287,40.66623049036858,1744.0,1.5,44965.0,269.6,33.86131284
Spuyten Duyvil,-73.91719048210393,40.88139497727086,3379.0,1.9,30016.0,282.9,41.03690095
St. Albans,-73.75867603727717,40.6944453852236,0.0,1.45,49319.0,579.3,31.24796097
St. George,-74.07935312512797,40.6449815710044,0.0,1.7,32853.0,323.9,43.886521944574156
Stapleton,-74.07790192660066,40.626927625381754,157.0,1.75,25250.0,482.5,44.964850075903655
Starrett City,-73.87936970045875,40.64758905230874,559.0,1.35,13987.0,482.5,42.47753282438924
Steinway,-73.90228960391673,40.7759230156429,9831.0,1.7,50569.0,306.7,37.47147618720491
Stuyvesant Town,-73.97405170469203,40.730999554770605,26956.0,1.8,20074.0,1425.8000000000002,36.745328827410155
Sunnyside,-73.92691617561577,40.74017628351925,11522.0,1.6,94495.0,659.9000000000001,46.84625585
Sunnyside Gardens,-73.91819286431682,40.74565180608076,0.0,1.75,7031.0,482.5,43.3763383784325
Sunset Park,-74.01031618527784,40.64510294925429,9439.0,1.8,122421.0,345.3,40.87262902
Sutton Place,-73.96355614094303,40.760280331313744,33381.0,1.8,849.0,482.5,45.12340195695238
Throgs Neck,-73.81635002158441,40.815109258040046,0.0,1.75,43940.0,211.0,58.58720235
Todt Hill,-74.1113288180088,40.59706851814673,189.0,1.9,30738.0,508.5,44.125287097491906
Tompkinsville,-74.08055351790115,40.637316067110326,0.0,1.6,20348.0,482.5,44.16702617042945
Tottenville,-74.24656934235283,40.50533376115642,8.0,1.9,20822.0,207.9,45.435901326770505
Travis,-74.19073717538116,40.58631375103281,0.0,1.6,39452.0,482.5,43.130248901044055
Tribeca,-74.01068328559087,40.721521967443216,77462.0,2.0,39749.0,922.0999999999999,81.32602188
Tudor City,-73.97121928722265,40.7469174107402,0.0,1.75,2526.0,482.5,41.37158243899167
Turtle Bay,-73.96770824581834,40.752042369507215,63039.0,1.7,50484.0,482.5,35.46035018
Unionport,-73.85053524451935,40.82977429787161,968.0,1.55,26508.0,482.5,43.2950266
University Heights,-73.91041596191309,40.85572707719664,1300.0,1.45,54262.0,460.1,23.75865236
Upper East Side,-73.96050763135,40.77563857330181,94244.0,1.85,62436.0,2602.6,56.38323246
Upper West Side,-73.97705923630603,40.787657998534854,62183.0,1.85,134666.0,1058.1,64.05861788
Utopia,-73.79671678028348,40.733500254297574,0.0,1.65,17592.0,205.4,32.99689727806225
Van Nest,-73.86629918075609,40.84360847124718,1636.0,1.65,28193.0,452.0,34.24613824284976
Vinegar Hill,-73.98111603592393,40.70332149882874,10350.0,2.0,32672.0,482.5,21.52590792
Wakefield,-73.84720052054901,40.894705176609996,810.0,1.35,43034.0,564.4000000000001,26.71884538
Washington Heights,-73.93690027985234,40.851902525553044,18374.0,1.35,159351.0,1444.3999999999999,34.72476291
