,name,longitude,latitude,avg_test_score
132,East New York,-73.88069864,40.66992570000001,39.58872701374009
133,Starrett City,-73.8793697,40.64758905,42.47753282438924
134,Cypress Hills,-73.87661596,40.68239101,38.864453252314426
135,City Line,-73.86797598,40.67856996,39.79224209024739
136,Van Nest,-73.86629918,40.84360847,34.24613824284976
137,Lefrak City,-73.86252471,40.73607457,36.53018215101901
138,Bronxdale,-73.86172578,40.85272298,31.653865771309352
139,Woodhaven,-73.85811047,40.68988688,40.72576399497883
140,Neponsit,-73.85754672,40.57203673,47.382010382298
141,North Corona,-73.85751791,40.754071,35.15766605019741
142,Pelham Parkway,-73.85475564,40.8574135,30.734228574150876
143,Clason Point,-73.85414416,40.80655112,34.74220476724089
144,Belle Harbor,-73.8540175,40.57615557,46.98597889182281
145,Lindenwood,-73.84963782,40.66391842,41.4131813033706
146,Ozone Park,-73.84320266,40.68070847,42.38008712865724
147,Rockaway Park,-73.8415337,40.58034296,40.272852035061646
148,Forest Hills Gardens,-73.84102211,40.71461108,42.61464114876915
149,Baychester,-73.83579759999999,40.86685811,35.92725551202459
150,Pelham Bay,-73.83207378,40.85064141,33.685839918798
151,Eastchester,-73.82780645,40.88755568,32.59003604314301
152,Malba,-73.82667757,40.79060156,46.184897955350785
153,Schuylerville,-73.82620276,40.82657952,39.554909386390214
154,Queensboro Hill,-73.82580915,40.74457231,43.992755659896396
155,Country Club,-73.82409927,40.84424594,37.502473530486235
156,Rockaway Beach,-73.82236121,40.582801700000005,37.81196344117995
157,Broad Channel,-73.82005489,40.60302658,33.73310854572638
158,Edgewater Park,-73.81388514,40.82198612,48.57135254931207
159,Murray Hill,-73.81276269,40.76412612,49.86417960290205
160,South Ozone Park,-73.80986479,40.66854958,32.89505329019346
161,Hammels,-73.80553003,40.58733774,28.816758981528455
162,Pomonok,-73.8048612,40.73493618,36.722266959680816
163,Beechhurst,-73.80436452,40.7927814,50.12660996958425
164,Hillcrest,-73.79760301,40.723824900000004,32.26366349426869
165,Utopia,-73.79671678,40.73350025,32.99689727806225
166,Somerville,-73.79664751,40.59771062,26.563894435458973
167,Arverne,-73.79199233,40.58914394,24.958592388229206
168,Auburndale,-73.79176244,40.76172955,53.16248418005229
169,City Island,-73.78648845,40.8472467,39.38746844778851
170,Bay Terrace,-73.77680223,40.78284281,57.055641411885624
171,Rochdale,-73.77258788,40.6752114,30.267061801512195
172,Holliswood,-73.76714167,40.72095721,37.644553130106615
173,Bayswater,-73.76596781,40.61132169,24.076602606573797
174,Far Rockaway,-73.75497968,40.60313443,24.318899856038502
175,Brookville,-73.75175311,40.66000323,32.24693354473721
176,Laurelton,-73.74025608,40.6678839,34.10095303849984
177,Bellaire,-73.73889199,40.73301404,50.66422901036276
178,Cambria Heights,-73.73526874,40.69277464,39.10003936448758
179,Rosedale,-73.73526079,40.65981643,32.450771323436186
11,Chelsea,-74.18956046,40.59472603,42.9471992
32,Port Richmond,-74.12943427,40.63366931,26.32343197
44,Sunnyside,-74.09712552,40.61276016,46.84625585
45,Dongan Hills,-74.09639905,40.58867295,36.16373553
63,Fort Hamilton,-74.03197915,40.61476813,58.27374036
64,Bay Ridge,-74.03062069,40.62580107,56.5072858
65,Dyker Heights,-74.01931376,40.61921946,41.00778796
67,Red Hook,-74.01275897,40.67625323,29.779934700000002
68,Tribeca,-74.01068329,40.72152197,81.32602188
70,Sunset Park,-74.01031619,40.64510295,40.87262902
74,Chelsea,-74.00311633,40.74403471,42.9471992
78,Bath Beach,-73.99875221,40.599518700000004,46.14276887
80,Little Italy,-73.99730467,40.71932379,66.23729582
81,Clinton,-73.99611936,40.75910089,46.06878741
83,Bensonhurst,-73.99517998,40.611008899999995,45.87215727
86,Chinatown,-73.99427936,40.71561842,35.70333663
87,Brooklyn Heights,-73.99378225,40.69586372,11.45091132
89,Borough Park,-73.99049823,40.63313051,40.6505171
95,Boerum Hill,-73.98374824,40.68568291,50.75011294
97,East Village,-73.98222617,40.72784678,31.95795124
100,Vinegar Hill,-73.98111604,40.7033215,21.52590792
101,Lower East Side,-73.98089032,40.71780675,33.91562941
102,Kensington,-73.98042111,40.64238196,35.92460008
103,Windsor Terrace,-73.98007340000001,40.65694584,44.52957153
105,Upper West Side,-73.97705924,40.787658,64.05861788
106,Park Slope,-73.9770503,40.67232052,61.13840762
108,Gravesend,-73.97347088,40.59526001,52.051974799999996
109,Fort Greene,-73.97290574,40.68852726,19.31708757
112,Clinton Hill,-73.96784306,40.69322942,41.228950399999995
113,Turtle Bay,-73.96770825,40.75204237,35.46035018
114,Brighton Beach,-73.96509449,40.57682507,63.495824
116,Manhattan Valley,-73.96428618,40.79730704,30.25478273
120,Ditmas Park,-73.96101312,40.64367518,41.58686039
121,Upper East Side,-73.96050763,40.77563857,56.38323246
125,Flatbush,-73.95840107,40.63632589,47.89652438
126,Williamsburg,-73.95811529,40.70714439,29.1941435
128,Midwood,-73.95759523,40.6255959,44.51997924
131,Prospect Lefferts Gardens,-73.95489867,40.65842002,23.97542996
132,Greenpoint,-73.95424093,40.73020098,50.6395602
135,Hamilton Heights,-73.94968792,40.82360428,30.15022935
141,East Harlem,-73.94418223,40.79224947,26.57731268
142,Manhattan Beach,-73.94353723,40.5779135,66.86757033
143,Crown Heights,-73.94329119,40.67082918,50.30614449
144,Central Harlem,-73.94321113,40.81597607,30.4184092
145,Sheepshead Bay,-73.9431864,40.58689013,48.54619336
146,Bedford Stuyvesant,-73.94178489,40.68723161,29.02899892
147,Long Island City,-73.93920224,40.75021735,21.45157138
150,Washington Heights,-73.93690028,40.85190253,34.72476291
151,East Flatbush,-73.93610256,40.64171777,27.38524605
154,Marine Park,-73.93134404,40.60974778,56.68011417
156,Gerritsen Beach,-73.93010171,40.59084843,42.42000553
157,Flatlands,-73.92911303,40.63044604,29.01323645
158,Sunnyside,-73.92691618,40.74017628,46.84625585
160,High  Bridge,-73.92610209,40.83662301,26.37857753
162,Bushwick,-73.92525797,40.69811611,24.68119214
163,Inwood,-73.92121042,40.86768396,25.2809043
164,Morris Heights,-73.91967159,40.84789793,26.31095146
166,Spuyten Duyvil,-73.91719048,40.88139498,41.03690095
168,Mount Eden,-73.91655552,40.84382618,29.62326757
169,Mott Haven,-73.91609987,40.80623875,21.51949499
172,Astoria,-73.91565374,40.76850859,39.51345877
174,Mill Basin,-73.91515392,40.61597424,62.99678108
178,Marble Hill,-73.91065966,40.87655078,22.04745344
179,University Heights,-73.91041596,40.85572708,23.75865236
182,Mount Hope,-73.90829931,40.84884161,22.00997605
