name,longitude,latitude,uber_count,avg_price,adj_pop,median_daily_test_rate,avg_test_score,Median Sale Price - na has median
Maspeth,-73.89621714,40.72542737,5098,1.45,117255,237.9,37.4737957,623678
Melrose,-73.90942161,40.81975437,2663,1.6,70035,310.3,25.36840488,351500
Middle Village,-73.88114319,40.71641451,2372,1.55,37778,166.5,37.57726276,747000
Midland Beach,-74.09348266,40.57352691,61,1.9,21069,605.1,46.41333955,556982
Midtown,-73.98166883,40.7546911,201832,1.75,77703,3527.5,46.5675501,645000
Midtown South,-73.98871313,40.74850966,51954,1.75,27219,482.5,46.48521636,997500
Midwood,-73.95759523,40.6255959,3700,1.55,54138,498.9,44.51997924,810000
Mill Basin,-73.91515392,40.61597424,2141,1.75,44086,259.4,62.99678108,710000
Mill Island,-73.90818572,40.60633642,0,1.8,93534,482.5,48.60694217,590000
Morningside Heights,-73.96389628,40.80799974,9425,1.7,55068,914,39.28870127,670000
Morris Heights,-73.91967159,40.84789793,1300,1.4,54262,230.1,26.31095146,900000
Morris Park,-73.85040178,40.84754906,1636,1.5,28193,289.2,36.18142653,611000
Morrisania,-73.90150649,40.82359199,1269,1.65,33830,231.8,30.68160635,345000
Mott Haven,-73.91609987,40.80623875,2567,1.55,86926,483.2,21.51949499,337500
Mount Eden,-73.91655552,40.84382618,0,1.4,20384,482.5,29.62326757,535000
Mount Hope,-73.90829931,40.84884161,1300,1.5,52228,475.6,22.00997605,150000
Murray Hill,-73.97833208,40.74830308,59007,1.85,101955,1530.5,42.77208626,497500
Neponsit,-73.85754672,40.57203673,0,1.75,2000,192.5,47.38201038,1367500
New Brighton,-74.08701651,40.64061456,142,1.65,50007,482.5,43.31504472,590000
New Dorp,-74.11647944,40.57257232,61,1.75,21069,796.3,45.17476316,695250
New Dorp Beach,-74.10432707,40.56425549,0,1.85,5399,482.5,45.99208864,525000
New Lots,-73.88511776,40.66274428,0,1.35,48038,482.5,40.17060388,590000
New Springville,-74.16496031,40.59425238,0,1.7,39452,482.5,42.29310998,562000
Noho,-73.98843368,40.72325902,0,1.95,24189,482.5,37.7127101,1935000
North Corona,-73.85751791,40.754071,958,1.3,49596,213.8,35.15766605,590000
North Riverdale,-73.90453055,40.90854283,3070,1.6,27936,362.5,42.40973873,309000
North Side,-73.95880858,40.71482291,0,1.65,42952,482.5,32.76172794,590000
Norwood,-73.87939074,40.87722416,1561,1.3,40655,249.9,38.7781022,205000
Oakland Gardens,-73.75494976,40.74561857,783,1.8,28054,148.5,73.68855027,322000
Oakwood,-74.12156594,40.55846224,45,1.85,22157,287.8,45.41606515,637000
Ocean Hill,-73.91306832,40.67840255,2904,1.5,31002,677.1,34.30650795,414445
Ocean Parkway,-73.96836678,40.61305977,1464,1.5,57342,482.5,45.95418258,590000
Old Town,-74.08751118,40.59632891,0,1.85,23926,482.5,46.10521861,590000
Olinville,-73.86332362,40.87137078,1140,1.35,59370,482.5,21.54122007,297500
Ozone Park,-73.84320266,40.68070847,1216,1.5,21214,433.8,42.38008713,607500
Paerdegat Basin,-73.90233474,40.63131755,0,1.8,0,482.5,44.11529899,590000
Park Hill,-74.08015735,40.60919044,0,1.8,17873,482.5,46.58218672,370750
Park Slope,-73.9770503,40.67232052,32463,1.9,67456,862.5,61.13840762,1036000
Parkchester,-73.85600311,40.83793782,889,1.55,29586,224.4,19.56137955,186000
Pelham Bay,-73.83207378,40.85064141,697,1.7,26862,289.2,33.68583992,542500
Pelham Gardens,-73.84161195,40.86296562,860,1.7,28707,261.6,37.74495064,652000
Pelham Parkway,-73.85475564,40.8574135,1616,1.6,30039,474.3,30.73422857,1162000
Pleasant Plains,-74.21983107,40.52469938,0,1.95,3586,482.5,45.1959251,544000
Pomonok,-73.8048612,40.73493618,1976,1.6,32884,434,36.72226696,712000
Port Ivory,-74.17464533,40.63968298,0,1.55,29715,324.4,39.45956904,415000
Port Morris,-73.91322139,40.80166363,2567,1.65,50721,256.4,25.35262515,875000
Port Richmond,-74.12943427,40.63366931,58,1.4,19117,260.2,26.32343197,544950
Prince's Bay,-74.20152556,40.52626407,11,1.8,27073,297.5,45.1748056,831343
Prospect Heights,-73.96485924,40.67682226,11125,1.7,19752,353,39.76292041,895000
Prospect Lefferts Gardens,-73.95489867,40.65842002,0,1.85,68880,616,23.97542996,834981
Prospect Park South,-73.96261317,40.6470086,0,1.85,2852,482.5,42.57183111,725000
Queens Village,-73.73871485,40.71889309,1275,1.35,55104,474.2,37.88756575,600000
Queensboro Hill,-73.82580915,40.74457231,1378,1.65,20054,128.1,43.99275566,863000
Queensbridge,-73.9456307,40.7560913,1188,1.75,20567,482.5,43.38084339,590000
Randall Manor,-74.09805062,40.63563001,0,1.55,6865,260.2,42.14887445,539000
Ravenswood,-73.93157506,40.76170453,1188,1.7,20567,482.5,42.14046064,590000
Red Hook,-74.01275897,40.67625323,5127,1.75,38340,428.1,29.7799347,988385
Rego Park,-73.85782687,40.72897409,2670,1.75,28832,297.1,40.53656543,350000
Remsen Village,-73.91665332,40.65211745,3105,1.6,56630,482.5,37.94063571,590000
Richmond Hill,-73.83183321,40.69794731,2601,1.7,62983,450.7,43.69850513,585000
Richmond Town,-74.1340573,40.56960594,0,1.85,5337,482.5,44.57779417,490000
Richmond Valley,-74.22957081,40.51954146,0,2,20822,482.5,45.27060714,794500
Ridgewood,-73.90143518,40.70832316,5827,1.5,69386,186.3,41.33484038,782500
Riverdale,-73.91258546,40.89083449,3070,1.9,27936,645.4,33.01323759,335000
Rochdale,-73.77258788,40.6752114,0,1.5,98643,482.5,30.2670618,492000
Rockaway Beach,-73.82236121,40.5828017,0,1.75,16522,482.5,37.81196344,467500
Rockaway Park,-73.8415337,40.58034296,156,1.7,27365,192.5,40.27285204,349000
Roosevelt Island,-73.94916769,40.76215961,638,1.7,78702,274.2,43.5290466,676551
Rosebank,-74.06980527,40.61530495,0,1.7,25250,482.5,47.69154861,590500
Rosedale,-73.73526079,40.65981643,822,1.5,25283,614.3,32.45077132,579500
Rossville,-74.21572851,40.54940401,5,1.5,19829,263.7,44.17487182,430000
Roxbury,-73.8921376,40.56737589,0,1.7,2502,482.5,52.70219022,420000
Rugby,-73.92688213,40.65557231,0,1.7,56630,482.5,36.53299912,590000
Sandy Ground,-74.21776636,40.54113992,0,1.75,0,482.5,44.30999395,590000
Schuylerville,-73.82620276,40.82657952,1020,1.75,43940,482.5,39.55490939,590000
