name,longitude,latitude,uber_count,avg_price
Richmond Valley,-74.22957080626941,40.5195414574891,0.0,2.0
Ridgewood,-73.90143517559589,40.708323156138576,5827.0,1.5
Riverdale,-73.9125854610857,40.890834493891305,3070.0,1.9
Rochdale,-73.77258787620906,40.67521139591733,0.0,1.5
Rockaway Beach,-73.82236121088752,40.58280169684559,0.0,1.75
Rockaway Park,-73.84153370226186,40.58034295646131,156.0,1.7
Roosevelt Island,-73.94916769227953,40.76215960576283,638.0,1.7
Rosebank,-74.06980526716141,40.61530494652761,0.0,1.7
Rosedale,-73.73526079428278,40.65981643342808,822.0,1.5
Rossville,-74.21572851113952,40.54940400650072,5.0,1.5
Roxbury,-73.89213760232822,40.56737588957032,0.0,1.7
Rugby,-73.92688212616955,40.65557231328077,0.0,1.7
Sandy Ground,-74.21776636068567,40.54113992209177,0.0,1.75
Schuylerville,-73.82620275994074,40.826579516869224,1020.0,1.75
Sea Gate,-74.00787311200241,40.57637537890224,0.0,1.5
Sheepshead Bay,-73.9431864048298,40.58689012678384,1614.0,1.7
Shore Acres,-74.0666776606177,40.60971934079284,0.0,1.8
Silver Lake,-74.09629029235458,40.61919310792676,0.0,1.75
Soho,-74.0006566695976,40.72218384131794,41476.0,1.65
Somerville,-73.79664750844047,40.597710615657675,0.0,1.8
Soundview,-73.86574609554923,40.821012197914015,1739.0,1.55
South Beach,-74.0795529253982,40.58024741350957,157.0,1.85
South Jamaica,-73.7904261313554,40.69691125378989,917.0,1.5
South Ozone Park,-73.80986478649041,40.66854957767195,2622.0,1.55
South Side,-73.95800095153331,40.71086147265064,0.0,1.75
Springfield Gardens,-73.76042092682287,40.66623049036858,1744.0,1.5
Spuyten Duyvil,-73.91719048210393,40.88139497727086,3379.0,1.9
St. Albans,-73.75867603727717,40.6944453852236,0.0,1.45
St. George,-74.07935312512797,40.6449815710044,0.0,1.7
Stapleton,-74.07790192660066,40.626927625381754,157.0,1.75
Starrett City,-73.87936970045875,40.64758905230874,559.0,1.35
Steinway,-73.90228960391673,40.7759230156429,9831.0,1.7
Stuyvesant Town,-73.97405170469203,40.730999554770605,26956.0,1.8
Sunnyside,-73.92691617561577,40.74017628351925,11522.0,1.6
Sunnyside Gardens,-73.91819286431682,40.74565180608076,0.0,1.75
Sunset Park,-74.01031618527784,40.64510294925429,9439.0,1.8
Sutton Place,-73.96355614094303,40.760280331313744,33381.0,1.8
Throgs Neck,-73.81635002158441,40.815109258040046,0.0,1.75
Todt Hill,-74.1113288180088,40.59706851814673,189.0,1.9
Tompkinsville,-74.08055351790115,40.637316067110326,0.0,1.6
Tottenville,-74.24656934235283,40.50533376115642,8.0,1.9
Travis,-74.19073717538116,40.58631375103281,0.0,1.6
Tribeca,-74.01068328559087,40.721521967443216,77462.0,2.0
Tudor City,-73.97121928722265,40.7469174107402,0.0,1.75
Turtle Bay,-73.96770824581834,40.752042369507215,63039.0,1.7
Unionport,-73.85053524451935,40.82977429787161,968.0,1.55
University Heights,-73.91041596191309,40.85572707719664,1300.0,1.45
Upper East Side,-73.96050763135,40.77563857330181,94244.0,1.85
Upper West Side,-73.97705923630603,40.787657998534854,62183.0,1.85
Utopia,-73.79671678028348,40.733500254297574,0.0,1.65
Van Nest,-73.86629918075609,40.84360847124718,1636.0,1.65
Vinegar Hill,-73.98111603592393,40.70332149882874,10350.0,2.0
